timestamp,position,altitude,heading
924,"52.448458508399014,105.83071873940729",30800,302
930,"52.454534364916775,105.81498334784527",31000,302
936,"52.46063393345153,105.79917670419567",31200,302
942,"52.466757186023784,105.78329875229623",31400,302
948,"52.47290409451306,105.76734943573464",31600,302
954,"52.47907463065766,105.75132869784852",31800,302
960,"52.485268766054304,105.73523648172525",32000,302
966,"52.49148647215791,105.71907273020192",32200,302
972,"52.49772772028123,105.70283738586518",32400,302
978,"52.5039924815946,105.68653039105118",32600,302
984,"52.510280727125604,105.67015168784543",32800,302
990,"52.51659242775877,105.65370121808276",33000,302
996,"52.5229275542353,105.63717892334715",33200,302
1002,"52.529286077152726,105.6205847449717",33400,302
1008,"52.53566796696461,105.60391862403847",33600,302
1014,"52.542073193980265,105.58718050137844",33800,302
1020,"52.54850172836444,105.57037031757137",34000,302
1026,"52.55495354013694,105.55348801294575",34200,302
1032,"52.561428599172416,105.53653352757865",34400,302
1038,"52.56792687519999,105.51950680129572",34600,302
1044,"52.574448337802906,105.502407773671",34800,302
1050,"52.58099295641832,105.48523638402686",35000,302
1056,"52.587560700336894,105.46799257143398",35200,302
1062,"52.5941515387025,105.45067627471116",35400,302
1068,"52.60076544051188,105.43328743242529",35600,301
1074,"52.60740237461437,105.41582598289128",35800,301
1080,"52.61406230971154,105.39829186417192",36000,301
1380,"52.943731760049815,104.5148071174799",36000,301
1680,"53.26670677420725,103.61791782224508",36000,301
1980,"53.58280793665936,102.70754682485955",36000,300
2280,"53.89185348326929,101.78363533883831",36000,299
2580,"54.193659548835946,100.846144429443",36000,299
2880,"54.488040443477935,99.89505652064226",36000,298
3180,"54.77480895880447,98.93037691395376",36000,297
3480,"55.05377670463585,97.95213530725775",36000,296
3780,"55.32475447681067,96.96038730020284",36000,295
4080,"55.58755265635505,95.95521587137259",36000,295
4380,"55.84198163998908,94.93673281097924",36000,294
4680,"56.08785230160819,93.90508009153834",36000,293
4980,"56.32497648400388,92.86043115779707",36000,292
5280,"56.55316751968042,91.80299211618724",36000,291
5580,"56.77224077918691,90.73300280329883",36000,290
5880,"56.982014244920784,89.65073771237196",36000,289
6180,"57.18230910787729,88.55650675663435",36000,289
6480,"57.37295038432608,87.45065584851346",36000,288
6780,"57.55376754890062,86.33356727437138",36000,287
7080,"57.7245951800992,85.20565984548088",36000,286
7380,"57.8852736137283,84.06738880751101",36000,285
7680,"58.03564959938373,82.91924549283299",36000,284
7980,"58.17557695467356,81.76175670249656",36000,283
8280,"58.3049172115539,80.5954838077461",36000,282
8580,"58.42354024888582,79.42102156441608",36000,281
8880,"58.53132490514182,78.23899663741669",36000,280
9180,"58.628159565103374,77.05006583672746",36000,279
9480,"58.71394271440778,75.85491407077348",36000,278
9780,"58.78858345592771,74.65425202767014",36000,277
10080,"58.85200198220684,73.44881359947246",36000,276
10380,"58.904129998530294,72.23935306913687",36000,275
10680,"58.94491109167742,71.02664208426759",36000,274
10980,"58.974301039982656,69.81146644575236",36000,273
11280,"58.99226806101003,68.59462274296976",36000,272
11580,"58.998792993916126,67.37691487026119",36000,271
11880,"58.99386941442541,66.15915046170622",36000,270
12180,"58.97750368125244,64.9421372828416",36000,269
12480,"58.949714913767245,63.72667961876313",36000,267
12780,"58.91053490169553,62.51357469801204",36000,266
13080,"58.86000794866696,61.30360919076298",36000,265
13380,"58.79819065246515,60.09755581811114",36000,264
13680,"58.7251516258973,58.8961701067327",36000,263
13980,"58.64097116330943,57.70018731990707",36000,262
14280,"58.54574085896868,56.51031959188612",36000,261
14580,"58.43956318490461,55.32725328789872",36000,260
14880,"58.322551037507594,54.15164660666871",36000,259
15180,"58.19482726451467,52.98412743607667",36000,258
15480,"58.05652418752163,51.825291465184335",36000,257
15780,"57.907783140896456,50.67570054652435",36000,256
16080,"57.74875405807306,49.53588128971359",36000,255
16380,"57.57959515528267,48.406323847467036",36000,254
16680,"57.40047280153825,47.28748081949074",36000,253
16980,"57.211561749439134,46.17976612689954",36000,252
17280,"57.01304611260725,45.083553537929525",36000,252
17580,"56.80512207649917,43.99917404832013",36000,251
17880,"56.58800543122268,42.92690967543733",36000,250
18180,"56.361957256684406,41.86697331274148",36000,249
18480,"56.1274397527686,40.81938901388732",36000,248
18486,"56.172342813639325,41.014224193894584",36000,247
18492,"56.16757567551159,40.9933693591997",35850,247
18498,"56.1628197148755,40.972583910811544",35700,247
18504,"56.158074965664206,40.95186780268365",35550,247
18510,"56.15334146168342,40.93122098888228",35400,247
18516,"56.1486192366117,40.91064342358678",35250,247
18522,"56.14390832400066,40.890135061089964",35100,247
18528,"56.13920875727514,40.86969585579857",34950,247
18534,"56.134520569733375,40.84932576223355",34800,247
18540,"56.129843794547256,40.82902473503049",34650,247
18546,"56.125178464762506,40.80879272893997",34500,247
18552,"56.12052461329886,40.78862969882796",34350,247
18558,"56.115882272950294,40.76853559967617",34200,247
18564,"56.11125147638522,40.748510386582396",34050,247
18570,"56.106632256146646,40.728554014760924",33900,247
18576,"56.10202464465242,40.70866643954285",33750,247
18582,"56.09742867419538,40.688847616376464",33600,247
18588,"56.092844376943624,40.66909750082759",33450,247
18594,"56.08827178494062,40.649416048579944",33300,247
18600,"56.083710930105454,40.629803215435466",33150,247
18606,"56.07916184423302,40.6102589573147",33000,247
18612,"56.07462455899416,40.59078323025708",32850,247
18618,"56.07009910593595,40.57137599042134",32700,247
18624,"56.06558551648184,40.55203719408576",32550,247
18630,"56.06108382193182,40.53276679764862",32400,247
18636,"56.05659405346268,40.51356475762842",32250,247
18642,"56.05211624212815,40.49443103066426",32100,247
18648,"56.047650418859085,40.475365573516164",31950,247
18654,"56.04319661446373,40.4563683430654",31800,247
18660,"56.03875485962781,40.4374392963148",31650,247
18666,"56.03432518491478,40.418578390389065",31500,247
18672,"56.02990762076601,40.39978558253511",31350,247
18678,"56.02550219750093,40.38106083012234",31200,247
18684,"56.021108945317316,40.36240409064298",31050,247
18690,"56.01672789429136,40.343815321712405",30900,247
18696,"56.01235907437791,40.325294481069385",30750,247
18702,"56.0080025154107,40.306841526576456",30600,247
18708,"56.00365824710247,40.28845641622017",30450,247
18714,"55.999326299045165,40.270139108111415",30300,247
18720,"55.995006700710114,40.2518895604857",30150,247
18726,"55.99069948144827,40.233707731703475",30000,247
18732,"55.98640467049032,40.215593580250356",29850,247
18738,"55.98212229694692,40.19754706473749",29700,247
18744,"55.97785238980884,40.179568143901804",29550,247
18750,"55.97359497794718,40.161656776606264",29400,247
18756,"55.96935009011354,40.143812921840215",29250,246
18762,"55.96511775494016,40.126036538719596",29100,246
18768,"55.96089800094019,40.10832758648725",28950,246
18774,"55.95669085650778,40.0906860245132",28800,246
18780,"55.9524963499183,40.0731118122949",28650,246
18786,"55.94831450932854,40.055604909457536",28500,246
18792,"55.94414536277683,40.03816527575425",28350,246
18798,"55.93998893818326,40.02079287106645",28200,246
18804,"55.93584526334987,40.00348765540402",28050,246
18810,"55.931714365960765,39.98624958890563",27900,246
18816,"55.92759627358236,39.96907863183895",27750,246
18822,"55.923491013663536,39.951974744600946",27600,246
18828,"55.919398613535776,39.9349378877181",27450,246
18834,"55.91531910041337,39.917968021846676",27300,246
18840,"55.91125250139359,39.90106510777297",27150,246
18846,"55.907198843456875,39.884229106413564",27000,246
18852,"55.90315815346695,39.867459978815525",26850,246
18858,"55.899130458171086,39.85075768615672",26700,246
18864,"55.895115784200186,39.83412218974599",26550,246
18870,"55.891114158068994,39.817553451023436",26400,246
18876,"55.88712560617626,39.80105143156062",26250,246
